Ticket,Open,Type,Volume,Symbol,Price_open,SL,TP,Close,Price_close,Swap,Commissions,Profit,Pips,Trade duration in seconds
57572291,2022-12-01 16:58:10,buy,2.0,US100.cash,12107.7,11984.0,12238.0,2022-12-01 17:13:43,11984.0,0.0,0.0,-247.4,-123.7,933
57544729,2022-12-01 14:31:13,buy,0.32,XAUUSD,1784.29,1775.4,1790.9,2022-12-01 15:43:27,1790.93,0.0,-0.58,212.48,6.64,4334
57480606,2022-11-30 21:00:44,buy,0.16,XAUUSD,1761.43,1745.0,1775.0,2022-12-01 02:11:22,1775.15,-11.14,-0.28,219.52,13.72,18638
57491816,2022-11-30 22:28:08,buy,2.0,US100.cash,11947.8,11842.0,12044.0,2022-11-30 23:31:54,12044.1,0.0,0.0,192.6,96.3,3826
57448532,2022-11-30 17:13:30,sell,0.22,XAUUSD,1752.35,1763.6,1741.6,2022-11-30 21:21:42,1763.72,0.0,-0.38,-250.14,-11.37,14892
57471563,2022-11-30 20:29:13,sell,0.48,XAUUSD,1746.76,1754.5,1744.3,2022-11-30 20:31:08,1754.58,0.0,-0.84,-375.36,-7.82,115
57347764,2022-11-29 18:55:16,sell,2.0,US100.cash,11493.4,11616.0,11367.0,2022-11-30 20:30:21,11616.8,-7.71,0.0,-246.8,-123.4,92105
57430272,2022-11-30 15:44:58,sell,4.0,US100.cash,11517.2,11574.0,11466.0,2022-11-30 20:30:12,11576.4,0.0,0.0,-236.8,-59.2,17114
57457974,2022-11-30 18:01:47,sell,4.0,US100.cash,11504.1,11559.0,11459.0,2022-11-30 20:30:10,11555.7,0.0,0.0,-206.4,-51.6,8903
57467145,2022-11-30 19:29:40,sell,4.0,US100.cash,11496.0,11556.0,11440.0,2022-11-30 20:30:10,11555.7,0.0,0.0,-238.8,-59.7,3630
57430126,2022-11-30 15:44:12,sell,0.38,XAUUSD,1758.75,1765.0,1752.0,2022-11-30 17:06:17,1752.07,0.0,-0.66,253.84,6.68,4925
57418526,2022-11-30 14:30:07,buy,0.73,XAUUSD,1761.94,1758.3,1766.0,2022-11-30 15:33:04,1758.01,0.0,-1.28,-286.89,-3.93,3777
57381058,2022-11-30 06:28:50,buy,9.0,US100.cash,11524.9,11496.0,11547.0,2022-11-30 10:16:18,11548.6,0.0,0.0,213.3,23.7,13648
57373948,2022-11-30 02:53:51,buy,9.0,US100.cash,11501.4,11473.0,11529.0,2022-11-30 10:02:10,11530.0,0.0,0.0,257.4,28.6,25699
57380268,2022-11-30 05:59:32,buy,1.23,XAUUSD,1754.89,1752.6,1756.7,2022-11-30 09:32:55,1756.79,0.0,-2.16,233.7,1.9,12803
57373876,2022-11-30 02:52:02,buy,0.9,XAUUSD,1750.55,1747.5,1753.0,2022-11-30 03:42:50,1753.03,0.0,-1.58,223.2,2.48,3048
57366563,2022-11-29 22:30:50,sell,0.74,XAUUSD,1748.97,1752.5,1745.5,2022-11-30 03:39:36,1752.51,-5.61,-1.3,-261.96,-3.54,18526
57358734,2022-11-29 20:30:51,sell,3.0,US100.cash,11460.0,11530.0,11394.0,2022-11-29 21:03:26,11531.7,0.0,0.0,-215.1,-71.7,1955
