,time,open,high,low,close,tick_volume,spread,real_volume
11477,1544689800,1245.54,1245.77,1245.25,1245.72,438,21,0
11478,1544691600,1245.82,1246.68,1245.72,1246.04,1420,17,0
11479,1544693400,1246.04,1246.66,1245.85,1246.05,1588,20,0
11480,1544695200,1246.06,1246.56,1244.96,1245.04,2557,20,0
11481,1544697000,1245.04,1246.26,1244.94,1245.86,1260,22,0
11482,1544698800,1245.86,1246.1,1244.58,1244.61,757,21,0
11483,1544700600,1244.61,1245.08,1244.14,1244.75,1193,20,0
11484,1544702400,1244.77,1244.97,1244.34,1244.57,1221,21,0
11485,1544704200,1244.57,1244.68,1241.13,1241.49,1685,16,0
11486,1544706000,1241.52,1242.85,1241.3,1242.36,1459,20,0
11487,1544707800,1242.34,1242.49,1241.78,1241.87,2088,20,0
11488,1544709600,1241.87,1242.79,1241.87,1242.6,1452,20,0
11489,1544711400,1242.6,1243.52,1241.97,1242.08,1263,20,0
11490,1544713200,1242.08,1243.79,1242.02,1243.14,1636,19,0
11491,1544715000,1243.17,1243.37,1240.34,1242.48,4438,15,0
11492,1544716800,1242.48,1244.12,1241.71,1242.98,2855,17,0
11493,1544718600,1242.98,1243.09,1240.05,1242.61,4189,17,0
11494,1544720400,1242.61,1243.89,1241.56,1241.88,3373,19,0
11495,1544722200,1241.88,1242.22,1240.71,1242.12,4146,18,0
11496,1544724000,1242.13,1243.4,1242.11,1242.63,3356,19,0
11497,1544725800,1242.63,1243.29,1242.15,1242.89,2251,19,0
11498,1544727600,1242.89,1243.57,1242.53,1242.7,1360,20,0
11499,1544729400,1242.7,1243.13,1242.45,1242.54,1681,21,0
11500,1544731200,1242.54,1243.78,1242.45,1243.09,1428,20,0
11501,1544733000,1242.99,1243.39,1242.21,1242.93,920,21,0
11502,1544734800,1242.93,1243.07,1242.13,1242.73,1088,20,0
11503,1544736600,1242.73,1242.97,1241.77,1241.85,984,20,0
11504,1544738400,1241.87,1242.56,1241.53,1242.55,1037,23,0
11505,1544740200,1242.55,1243.12,1241.68,1242.94,892,16,0
11506,1544742000,1242.94,1243.07,1242.27,1242.59,483,16,0
11507,1544743800,1242.59,1243.04,1241.86,1242.0,636,20,0
11508,1544745600,1241.63,1242.99,1230.16,1230.16,94878,0,0
11509,1544749200,1241.71,1242.59,1241.71,1242.47,363,18,0
11510,1544751000,1242.48,1242.6,1242.25,1242.41,435,21,0
11511,1544752800,1242.41,1242.81,1241.55,1241.96,680,21,0
11512,1544754600,1241.95,1242.7,1241.86,1242.25,632,22,0
11513,1544756400,1242.25,1242.95,1242.01,1242.42,848,19,0
11514,1544758200,1242.41,1242.79,1241.96,1242.59,743,19,0
11515,1544760000,1242.56,1242.59,1241.99,1241.99,674,19,0
11516,1544761800,1242.02,1242.37,1241.89,1242.28,541,23,0
11517,1544763600,1242.32,1242.37,1241.77,1241.8,491,21,0
11518,1544765400,1241.8,1242.07,1241.63,1241.97,661,18,0
11519,1544767200,1241.97,1242.1,1241.51,1241.54,472,16,0
11520,1544769000,1241.55,1241.84,1241.37,1241.55,520,23,0
11521,1544770800,1241.54,1241.62,1240.92,1241.13,443,22,0
11522,1544772600,1241.13,1241.34,1240.8,1241.25,500,18,0
11523,1544774400,1241.25,1241.26,1240.22,1240.36,631,19,0
11524,1544776200,1240.36,1240.41,1239.49,1239.98,710,17,0
11525,1544778000,1239.95,1240.58,1239.75,1239.84,601,20,0
11526,1544779800,1239.78,1239.78,1237.3,1238.51,1315,19,0
11527,1544781600,1238.51,1239.07,1237.57,1238.9,1385,18,0
11528,1544783400,1238.85,1239.18,1237.62,1238.11,2463,16,0
11529,1544785200,1238.04,1239.01,1237.82,1238.97,1853,20,0
11530,1544787000,1238.92,1239.22,1238.49,1239.07,1849,16,0
11531,1544788800,1239.06,1239.77,1238.91,1239.51,2701,18,0
11532,1544790600,1239.51,1239.53,1238.68,1238.83,2297,16,0
11533,1544792400,1238.82,1239.06,1238.49,1238.49,1583,15,0
11534,1544794200,1238.5,1238.67,1237.77,1238.18,1521,20,0
11535,1544796000,1238.18,1238.41,1237.39,1238.13,1531,19,0
11536,1544797800,1238.14,1238.61,1237.69,1237.9,1175,16,0
11537,1544799600,1237.9,1238.23,1237.49,1237.73,2014,15,0
11538,1544801400,1237.7,1237.7,1234.16,1234.39,4468,15,0
11539,1544803200,1234.44,1235.27,1233.45,1233.52,2997,17,0
11540,1544805000,1233.47,1235.47,1232.89,1234.84,3683,17,0
11541,1544806800,1234.84,1236.55,1234.69,1236.26,3079,19,0
11542,1544808600,1236.26,1236.35,1235.44,1236.02,1806,18,0
11543,1544810400,1236.02,1239.64,1235.81,1239.21,2615,16,0
11544,1544812200,1239.21,1240.15,1239.01,1239.97,1566,19,0
11545,1544814000,1239.97,1240.21,1239.15,1239.46,1511,18,0
11546,1544815800,1239.45,1240.29,1239.35,1239.75,1543,20,0
11547,1544817600,1239.75,1239.92,1237.11,1237.16,2356,17,0
11548,1544819400,1237.16,1238.88,1236.73,1238.76,2794,20,0
11549,1544821200,1238.76,1238.97,1238.32,1238.66,1418,21,0
11550,1544823000,1238.66,1239.17,1238.44,1238.53,1064,21,0
11551,1544824800,1238.54,1239.31,1237.83,1237.83,524,20,0
11552,1544826600,1237.83,1238.48,1237.44,1238.25,793,19,0
11553,1544828400,1238.25,1238.49,1238.14,1238.21,354,19,0
11554,1544830200,1238.21,1238.44,1238.0,1238.0,249,22,0
11555,1545004800,1238.99,1248.02,1235.48,1242.83,89460,0,0
11556,1545008400,1237.33,1237.75,1237.05,1237.36,101,32,0
11557,1545010200,1237.36,1237.76,1236.83,1236.95,95,35,0
11558,1545012000,1236.95,1237.72,1236.65,1236.72,139,41,0
11559,1545013800,1236.72,1236.72,1235.47,1236.37,190,41,0
11560,1545015600,1236.37,1237.69,1236.09,1237.63,190,22,0
11561,1545017400,1237.63,1237.96,1237.21,1237.83,570,16,0
11562,1545019200,1237.73,1237.73,1237.05,1237.5,218,15,0
11563,1545021000,1237.5,1237.87,1237.43,1237.81,178,18,0
11564,1545022800,1237.9,1238.03,1237.53,1237.63,293,18,0
11565,1545024600,1237.63,1237.82,1237.6,1237.7,210,21,0
11566,1545026400,1237.7,1237.93,1237.5,1237.61,226,20,0
11567,1545028200,1237.61,1237.73,1236.9,1236.93,208,18,0
11568,1545030000,1236.93,1237.21,1236.69,1236.9,282,20,0
11569,1545031800,1236.9,1236.9,1236.38,1236.9,269,19,0
11570,1545033600,1236.9,1237.78,1236.39,1237.59,341,15,0
